tick,simulation_time_s,w_pressed,a_pressed,d_pressed,shift_pressed,r_pressed,throttle,steer,brake,speed_mps,speed_kmh,speed_mph,heading_rad,heading_deg,location_x,location_y,location_z
50,2.500,1,0,0,0,0,1.000,0.0000,0.000,7.068,25.446,15.812,1.919445,109.976,-285.914,397.513,0.002
51,2.550,1,0,0,0,0,1.000,0.0000,0.000,7.278,26.202,16.281,1.919445,109.976,-286.036,397.850,0.002
52,2.600,1,0,0,0,0,1.000,0.0000,0.000,7.489,26.959,16.752,1.919445,109.976,-286.163,398.198,0.002
53,2.650,1,0,0,0,0,1.000,0.0000,0.000,7.699,27.716,17.222,1.919445,109.976,-286.293,398.555,0.002
54,2.700,1,0,0,0,0,1.000,0.0000,0.000,7.909,28.472,17.692,1.919445,109.976,-286.426,398.922,0.002
55,2.750,1,0,0,0,0,1.000,0.0000,0.000,8.119,29.227,18.161,1.919445,109.976,-286.563,399.300,0.002
56,2.800,1,0,0,0,0,1.000,0.0000,0.000,8.328,29.981,18.629,1.919445,109.976,-286.704,399.686,0.002
57,2.850,1,0,0,0,0,1.000,0.0000,0.000,8.537,30.734,19.097,1.919445,109.976,-286.848,400.083,0.002
58,2.900,1,0,0,0,0,1.000,0.0000,0.000,8.746,31.485,19.564,1.919445,109.976,-286.996,400.490,0.002
59,2.950,1,0,0,0,0,1.000,0.0000,0.000,8.954,32.236,20.030,1.919445,109.976,-287.147,400.906,0.002
60,3.000,1,0,0,0,0,1.000,0.0000,0.000,9.162,32.985,20.496,1.919445,109.976,-287.302,401.332,0.002
61,3.050,1,0,0,0,0,1.000,0.0000,0.000,9.370,33.733,20.961,1.919445,109.976,-287.461,401.768,0.002
62,3.100,1,0,0,0,0,1.000,0.0000,0.000,9.578,34.479,21.425,1.919445,109.976,-287.623,402.214,0.002
63,3.150,1,0,0,0,0,1.000,0.0000,0.000,9.785,35.225,21.888,1.919445,109.976,-287.788,402.669,0.002
64,3.200,1,0,0,0,0,1.000,0.0000,0.000,9.991,35.969,22.350,1.919445,109.976,-287.957,403.135,0.002
65,3.250,1,0,0,0,0,1.000,0.0000,0.000,10.198,36.711,22.811,1.919445,109.976,-288.130,403.609,0.002
66,3.300,1,0,0,0,0,1.000,0.0000,0.000,10.403,37.453,23.272,1.919445,109.976,-288.306,404.094,0.002
67,3.350,1,0,0,0,0,1.000,0.0000,0.000,10.609,38.192,23.732,1.919445,109.976,-288.486,404.588,0.002
68,3.400,1,0,0,0,0,1.000,0.0000,0.000,10.814,38.931,24.191,1.919445,109.976,-288.669,405.092,0.002
69,3.450,1,0,0,0,0,1.000,0.0000,0.000,11.019,39.669,24.649,1.919445,109.976,-288.855,405.605,0.002
70,3.500,1,0,0,0,0,1.000,0.0000,0.000,11.223,40.405,25.106,1.919445,109.976,-289.045,406.129,0.002
71,3.550,1,0,0,0,0,1.000,0.0000,0.000,11.428,41.139,25.563,1.919445,109.976,-289.239,406.661,0.002
72,3.600,1,0,0,0,0,1.000,0.0000,0.000,11.631,41.873,26.019,1.919445,109.976,-289.436,407.204,0.002
73,3.650,1,0,0,0,0,1.000,0.0000,0.000,11.835,42.605,26.473,1.919445,109.976,-289.637,407.755,0.002
74,3.700,1,0,0,0,0,1.000,0.0000,0.000,12.038,43.336,26.928,1.919445,109.976,-289.841,408.317,0.002
75,3.750,1,0,0,0,0,1.000,0.0000,0.000,12.240,44.065,27.381,1.919445,109.976,-290.048,408.888,0.002
76,3.800,1,0,0,0,0,1.000,0.0000,0.000,12.443,44.793,27.833,1.919445,109.976,-290.259,409.468,0.002
77,3.850,1,0,0,0,0,1.000,0.0000,0.000,12.645,45.520,28.285,1.919445,109.976,-290.474,410.058,0.002
78,3.900,1,0,0,0,0,1.000,0.0000,0.000,12.846,46.246,28.736,1.919445,109.976,-290.692,410.657,0.002
79,3.950,1,0,0,0,0,1.000,0.0000,0.000,13.047,46.970,29.186,1.919445,109.976,-290.913,411.266,0.002
80,4.000,1,0,0,0,0,1.000,0.0000,0.000,13.248,47.693,29.635,1.919445,109.976,-291.138,411.885,0.002
81,4.050,1,0,0,0,0,1.000,0.0000,0.000,13.449,48.415,30.084,1.919445,109.976,-291.366,412.512,0.002
82,4.100,1,0,0,0,0,1.000,0.0000,0.000,13.649,49.135,30.531,1.919445,109.976,-291.598,413.149,0.002
83,4.150,1,0,0,0,0,1.000,0.0000,0.000,13.848,49.854,30.978,1.919445,109.976,-291.833,413.796,0.002
84,4.200,1,0,0,0,0,1.000,0.0000,0.000,14.048,50.572,31.424,1.919445,109.976,-292.071,414.452,0.002
85,4.250,1,0,0,0,0,1.000,0.0000,0.000,14.247,51.288,31.869,1.919445,109.976,-292.313,415.117,0.002
86,4.300,1,0,0,0,0,1.000,0.0000,0.000,14.445,52.004,32.314,1.919445,109.976,-292.558,415.792,0.002
87,4.350,1,0,0,0,0,1.000,0.0000,0.000,14.644,52.717,32.757,1.919445,109.976,-292.807,416.476,0.002
88,4.400,1,0,0,0,0,1.000,0.0000,0.000,14.842,53.430,33.200,1.919445,109.976,-293.059,417.169,0.002
89,4.450,1,0,0,0,0,1.000,0.0000,0.000,15.039,54.141,33.642,1.919445,109.976,-293.314,417.872,0.002
90,4.500,1,0,0,0,0,1.000,0.0000,0.000,15.236,54.851,34.083,1.919445,109.976,-293.573,418.583,0.002
91,4.550,1,0,0,0,0,1.000,0.0000,0.000,15.433,55.560,34.523,1.919445,109.976,-293.835,419.304,0.002
92,4.600,1,0,0,0,0,1.000,0.0000,0.000,15.630,56.267,34.963,1.919445,109.976,-294.100,420.035,0.002
93,4.650,1,0,0,0,0,1.000,0.0000,0.000,15.826,56.974,35.402,1.919445,109.976,-294.369,420.774,0.002
94,4.700,1,0,0,0,0,1.000,0.0000,0.000,16.022,57.678,35.840,1.919445,109.976,-294.641,421.523,0.002
95,4.750,1,0,0,0,0,1.000,0.0000,0.000,16.217,58.382,36.277,1.919445,109.976,-294.917,422.281,0.002
96,4.800,1,0,0,0,0,1.000,0.0000,0.000,16.412,59.084,36.713,1.919445,109.976,-295.196,423.048,0.002
97,4.850,1,0,0,0,0,1.000,0.0000,0.000,16.607,59.785,37.149,1.919445,109.976,-295.478,423.824,0.002
98,4.900,1,0,0,0,0,1.000,0.0000,0.000,16.801,60.485,37.584,1.919445,109.976,-295.763,424.610,0.002
99,4.950,1,0,0,0,0,1.000,0.0000,0.000,16.995,61.183,38.018,1.919445,109.976,-296.052,425.404,0.002
100,5.000,1,0,0,0,0,1.000,0.0000,0.000,17.189,61.880,38.451,1.919445,109.976,-296.344,426.208,0.002
101,5.050,1,0,0,0,0,1.000,0.0000,0.000,17.382,62.576,38.883,1.919445,109.976,-296.640,427.021,0.002
102,5.100,1,0,0,0,0,1.000,0.0000,0.000,17.575,63.271,39.315,1.919445,109.976,-296.938,427.843,0.002
103,5.150,1,0,0,0,0,1.000,0.0000,0.000,17.768,63.964,39.745,1.919445,109.976,-297.240,428.673,0.002
104,5.200,1,0,0,0,0,1.000,0.0000,0.000,17.960,64.656,40.175,1.919445,109.976,-297.546,429.513,0.002
105,5.250,1,0,0,0,0,1.000,0.0000,0.000,18.152,65.347,40.605,1.919445,109.976,-297.854,430.362,0.002
106,5.300,1,0,0,0,0,1.000,0.0000,0.000,18.343,66.036,41.033,1.919445,109.976,-298.166,431.220,0.002
107,5.350,1,0,0,0,0,1.000,0.0000,0.000,18.535,66.724,41.461,1.919447,109.976,-298.481,432.087,0.002
108,5.400,1,0,0,0,0,1.000,0.0000,0.000,18.725,67.411,41.887,1.919447,109.976,-298.800,432.963,0.002
109,5.450,1,0,0,0,0,1.000,0.0000,0.000,18.916,68.097,42.313,1.919449,109.976,-299.121,433.848,0.002
110,5.500,1,0,0,0,0,1.000,0.0000,0.000,19.106,68.781,42.739,1.919449,109.976,-299.446,434.742,0.002
111,5.550,1,0,0,0,0,1.000,0.0000,0.000,19.296,69.464,43.163,1.919451,109.976,-299.774,435.644,0.002
112,5.600,1,0,0,0,0,1.000,0.0000,0.000,19.485,70.146,43.587,1.919451,109.976,-300.106,436.556,0.002
113,5.650,1,0,0,0,0,1.000,0.0000,0.000,19.674,70.827,44.010,1.919453,109.977,-300.440,437.477,0.002
114,5.700,1,0,0,0,0,1.000,0.0000,0.000,19.863,71.506,44.432,1.919453,109.977,-300.778,438.406,0.002
115,5.750,1,0,0,0,0,1.000,0.0000,0.000,20.051,72.184,44.853,1.919455,109.977,-301.119,439.344,0.002
116,5.800,1,0,0,0,0,1.000,0.0000,0.000,20.239,72.861,45.274,1.919455,109.977,-301.464,440.291,0.002
117,5.850,1,0,0,0,0,1.000,0.0000,0.000,20.427,73.536,45.693,1.919457,109.977,-301.811,441.247,0.002
118,5.900,1,0,0,0,0,1.000,0.0000,0.000,20.614,74.210,46.112,1.919457,109.977,-302.162,442.212,0.002
119,5.950,1,0,0,0,0,1.000,0.0000,0.000,20.801,74.883,46.530,1.919459,109.977,-302.516,443.185,0.002
120,6.000,1,0,0,0,0,1.000,0.0000,0.000,20.988,75.555,46.948,1.919459,109.977,-302.873,444.168,0.002
121,6.050,1,0,0,0,0,1.000,0.0000,0.000,21.174,76.226,47.364,1.919461,109.977,-303.233,445.159,0.002
122,6.100,1,0,0,0,0,1.000,0.0000,0.000,21.360,76.895,47.780,1.919461,109.977,-303.596,446.159,0.002
123,6.150,1,0,0,0,0,1.000,0.0000,0.000,21.545,77.563,48.195,1.919464,109.977,-303.963,447.167,0.002
124,6.200,1,0,0,0,0,1.000,0.0000,0.000,21.730,78.229,48.610,1.919464,109.977,-304.333,448.184,0.002
125,6.250,1,0,0,0,0,1.000,0.0000,0.000,21.915,78.895,49.023,1.919466,109.977,-304.706,449.210,0.002
126,6.300,1,0,0,0,0,1.000,0.0000,0.000,22.100,79.559,49.436,1.919466,109.977,-305.082,450.245,0.002
127,6.350,1,0,0,0,0,1.000,0.0000,0.000,22.284,80.222,49.848,1.919468,109.977,-305.461,451.288,0.002
128,6.400,1,0,0,0,0,1.000,0.0000,0.000,22.468,80.884,50.259,1.919468,109.977,-305.843,452.340,0.002
129,6.450,1,0,0,0,0,1.000,0.0000,0.000,22.651,81.544,50.669,1.919470,109.978,-306.229,453.401,0.002
130,6.500,1,0,0,0,0,1.000,0.0000,0.000,22.834,82.204,51.079,1.919470,109.978,-306.618,454.470,0.002
131,6.550,1,0,0,0,0,1.000,0.0000,0.000,23.017,82.862,51.488,1.919473,109.978,-307.009,455.547,0.002
132,6.600,1,0,0,0,0,1.000,0.0000,0.000,23.200,83.518,51.896,1.919473,109.978,-307.404,456.634,0.002
133,6.650,1,0,0,0,0,1.000,0.0000,0.000,23.382,84.174,52.303,1.919474,109.978,-307.802,457.729,0.002
134,6.700,1,0,0,0,0,1.000,0.0000,0.000,23.563,84.828,52.710,1.919474,109.978,-308.203,458.832,0.002
135,6.750,1,0,0,0,0,1.000,0.0000,0.000,23.745,85.481,53.116,1.919477,109.978,-308.608,459.944,0.002
136,6.800,1,0,0,0,0,1.000,0.0000,0.000,23.926,86.133,53.521,1.919477,109.978,-309.015,461.065,0.002
137,6.850,1,0,0,0,0,1.000,0.0000,0.000,24.107,86.784,53.925,1.919479,109.978,-309.425,462.194,0.002
138,6.900,1,0,0,0,0,1.000,0.0000,0.000,24.287,87.433,54.329,1.919479,109.978,-309.839,463.331,0.002
139,6.950,1,0,0,0,0,1.000,0.0000,0.000,24.467,88.081,54.731,1.919481,109.978,-310.256,464.477,0.002
140,7.000,1,0,0,0,0,1.000,0.0000,0.000,24.647,88.728,55.133,1.919481,109.978,-310.675,465.631,0.002
141,7.050,1,0,0,0,0,1.000,0.0000,0.000,24.826,89.374,55.534,1.919483,109.978,-311.098,466.794,0.002
142,7.100,1,0,0,0,0,1.000,0.0000,0.000,25.005,90.018,55.935,1.919483,109.978,-311.524,467.965,0.002
143,7.150,1,0,0,0,0,1.000,0.0000,0.000,25.184,90.662,56.335,1.919485,109.978,-311.953,469.145,0.002
